model_name,cv_f1_mean,cv_f1_std,accuracy,balanced_accuracy,precision,recall,f1_score,mcc,kappa,roc_auc
LightGBM,0.947385522714052,0.0003571854166053207,0.9261478449929659,0.9042415988010026,0.9276882183777703,0.9661936166594229,0.946549481878474,0.8290581662620449,0.8272666931202343,0.9723628914962644
XGBoost,0.9455244093511841,0.00020142644633761023,0.9225668244020975,0.8985052464961483,0.9227091920950328,0.9665526559458796,0.9441221937657184,0.8206201629856502,0.8182797898851459,0.9687221451643553
Random Forest,0.9293139789236851,0.001549560873425399,0.8971287888476788,0.8497450558525377,0.8787441448284593,0.9837487480866985,0.928286444100694,0.7634945851447578,0.7484113638900476,0.9659205500382056
Gradient Boosting,0.907728252826173,0.00042707665837876684,0.866709297864177,0.8135288264980659,0.856979654923307,0.9639260001133808,0.9073122142971487,0.687930922203891,0.6730009786590081,0.9091766155683069
Extra Trees,0.8933344371482402,0.0007194110605247238,0.840919554930298,0.7599191223420366,0.8153055263465359,0.9889926113494208,0.8937892521229768,0.6341877849498657,0.588408787557523,0.9243279513465257
Logistic Regression,0.8841195585504723,0.0014094654573575457,0.8284691136974037,0.7419190428036208,0.8042651181417702,0.986687201194278,0.8861856230004838,0.6028626841214837,0.5523748092257676,0.9069939929547648
AdaBoost,0.8718697381499523,0.00021775426064656937,0.8064394423839366,0.7152605301979742,0.7897206652506958,0.9731192955271264,0.8718799602124823,0.5411241113912477,0.4931727775523479,0.8076591526794726
Gaussian Naive Bayes,0.8241804435169489,0.002480062823062153,0.7214669395063308,0.5822704399848266,0.7158053763366343,0.9759254710028534,0.825867424651291,0.2882290409457737,0.20536498146925453,0.8175916793884226
